title,tutor,cost,time,rating,url,image
Python for Everybody,University of Michigan,NIL,Approximately 8 months to complete,4.8,https://www.coursera.org/specializations/python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/python.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Google IT Automation with Python,Google,NIL,Approximately 8 months to complete,4.7,https://www.coursera.org/professional-certificates/google-it-automation,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/10/94e64625eb4b41b05e66ed0e5bab30/Xavier-MI-Thompson-119.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Python 3 Programming,University of Michigan,NIL,Approximately 5 months to complete,4.7,https://www.coursera.org/specializations/python-3-programming,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/be/0ce870e9cb11e8b2d233b4be6a9cf3/pythonfluency_1x1_4.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Crash Course on Python,Google,NIL,Approx. 28 hours to complete,4.8,https://www.coursera.org/learn/python-crash-course,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a1/fd9a9b0f404af6842d49aad8cf141a/Andrew-WA-Thompson-699-1-.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Data Science Fundamentals with Python and SQL,IBM,NIL,Approximately 6 months to complete,4.6,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bd/0202c87e244d30bdecd889bd2719ae/DataScienceFundamentalsPythonSQL.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
Applied Data Science with Python,University of Michigan,NIL,Approximately 5 months to complete,4.5,https://www.coursera.org/specializations/data-science-python,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Programming for Everybody (Getting Started with Python),University of Michigan,NIL,Approx. 19 hours to complete,4.8,https://www.coursera.org/learn/python,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
IBM Data Science,IBM,NIL,Approximately 11 months to complete,4.6,https://www.coursera.org/professional-certificates/ibm-data-science,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
"Python for Data Science, AI & Development",IBM,NIL,Approx. 20 hours to complete,4.6,https://www.coursera.org/learn/python-for-applied-data-science-ai,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Introduction to Programming with Python and Java,University of Pennsylvania,NIL,Approximately 4 months to complete,4.4,https://www.coursera.org/specializations/programming-python-java,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Bachelor of Science in Computer Science,University of London,NIL,NIL,4.6,https://www.coursera.org/degrees/bachelor-of-science-computer-science-london,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
IBM DevOps and Software Engineering,IBM,NIL,Approximately 10 months to complete,4.6,https://www.coursera.org/professional-certificates/devops-and-software-engineering,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
IBM Data Analyst,IBM,NIL,Approximately 11 months to complete,4.8,https://www.coursera.org/professional-certificates/ibm-data-analyst,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Python Basics,University of Michigan,NIL,Approx. 36 hours to complete,4.7,https://www.coursera.org/learn/python-basics,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Introduction to Scripting in Python,Rice University,NIL,Approximately 4 months to complete,4.7,https://www.coursera.org/specializations/introduction-scripting-in-python,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Data Science Foundations: Data Structures and Algorithms,University of Colorado Boulder,NIL,Approximately 3 months to complete,4.6,https://www.coursera.org/specializations/boulder-data-structures-algorithms,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Statistics with Python,University of Michigan,NIL,Approximately 3 months to complete,4.4,https://www.coursera.org/specializations/statistics-with-python,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
Python for Cybersecurity,Infosec,NIL,Approximately 5 months to complete,4.6,https://www.coursera.org/specializations/pythonforcybersecurity,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/stockvault-person-studying-and-learning---knowledge-concept178241_0.jpeg?yCXmhi7e2ARwUtzHHlvtcrgETnDgFwCK&size=770:433
